178.5,474.23,0.19778
181,475,0.19849
199.4,474.09,0.19914
197,475,0.19968
195.2,474.17,0.19891
193,475,0.19939
182.4,474.15,0.19796
185,475,0.19879
214.4,474.19,0.20044
217,475,0.20119
219.1,474.03,0.20053
221,475,0.2015
247.2,474.02,0.2027
245,475,0.20338
223.3,474.01,0.20083
225,475,0.20181
227.3,474.01,0.20114
229,475,0.20212
243.2,474.01,0.20238
241,475,0.20306
231.2,474,0.20144
233,475,0.20243
235.2,474,0.20175
237,475,0.20275
239.2,474.01,0.20206
255.1,474.02,0.20334
257,475,0.20434
259.1,474.02,0.20366
261,475,0.20466
263.1,474.04,0.204
265,475,0.20498
279.1,474.1,0.20541
277,475,0.20596
281,475,0.20628
291,474.29,0.20661
289,475,0.20695
293,475,0.20729
-120.2,463.71,0.12903
-125,462.44,0.11962
186.5,474.08,0.19816
189,475,0.19909
191.1,473.97,0.19836
267,474.07,0.20437
269,475,0.20531
271,474.14,0.20479
273,475,0.20564
274.9,474.11,0.2051
283.5,474.16,0.20582
285,475,0.20661
287.4,474.22,0.20622
298.8,474.15,0.20707
297,475,0.20761
301,475,0.20796
302.8,474.21,0.20751
305,475,0.20829
294.5,474.23,0.20689
-121.3,460.94,0.1083
-125,460.49,0.10488
311.1,474.01,0.2079
309,475,0.20863
313,475,0.20897
315.1,474,0.20825
317,475,0.20932
306.5,474.11,0.20773
319.1,474,0.2086
321,475,0.20966
323.1,473.99,0.20892
325,475,0.21001
327,473.98,0.20925
329,475,0.21036
331,473.97,0.20958
333,475,0.21071
-120.9,459.1,0.094475
-125,458.44,0.089554
334.9,473.97,0.20992
337,475,0.21106
338.9,473.96,0.21026
341,475,0.21142
342.9,473.96,0.2106
345,475,0.21178
346.9,473.95,0.21095
349,475,0.21213
350.9,473.95,0.2113
353,475,0.21249
354.9,473.94,0.21165
357,475,0.21286
-121.3,457.49,0.082679
-125,456.29,0.074155
358.9,473.94,0.21201
361,475,0.21322
362.9,473.95,0.21239
365,475,0.21358
367.1,473.95,0.21277
369,475,0.21395
371.8,473.98,0.21324
373,475,0.21431
375.6,474.2,0.21389
377,475,0.21468
379.1,474.26,0.21433
381,475,0.21506
1521.2,475,0.99998
1520.4,474.77,0.99994
1519.8,475,0.99989
1522.6,475,0.99998
1521.9,474.67,0.99998
1524,474.56,0.99998
1523,474.66,0.99998
1524,475,0.99998
-121.2,454.81,0.064446
-125,454.02,0.059393
419.2,474.02,0.21776
417,475,0.21847
421,475,0.21887
415.1,474.07,0.21743
413,475,0.21808
387.4,474.09,0.21484
385,475,0.21543
389,475,0.21579
383,473.95,0.21426
1518.4,475,0.99961
1517.5,474.7,0.99881
1517,475,0.99881
1519.5,474.7,0.99976
1524,474.14,0.99998
1523.2,474.37,0.99998
-121.2,453.49,0.056251
-125,451.64,0.045764
423.2,473.99,0.2181
425,475,0.21926
427.2,473.98,0.21847
429,475,0.21966
431.1,473.97,0.21885
433,475,0.22006
435.1,473.96,0.21924
437,475,0.22046
439.1,473.97,0.21964
441,475,0.22086
390.9,474.19,0.21532
393,475,0.21617
411,474.05,0.21702
409,475,0.2177
406.6,474.05,0.21665
405,475,0.21732
1515.5,475,0.99743
1516.5,474.66,0.9978
-125,449.14,0.033781
-118.2,450.25,0.038869
482.7,474.2,0.22455
481,475,0.225
485,475,0.22542
499.1,474.2,0.22626
497,475,0.22671
501,475,0.22715
507,474.1,0.22699
505,475,0.22759
509,475,0.22803
503,474.21,0.2267
467.1,474.16,0.22282
465,475,0.22333
469,475,0.22374
471.2,474.15,0.22324
473,475,0.22415
475.1,474.2,0.22371
477,475,0.22457
478.9,474.2,0.2241
443.1,473.97,0.22004
445,475,0.22127
447.1,473.98,0.22046
449,475,0.22168
451.1,474,0.22091
453,475,0.22208
455.1,474.03,0.22136
457,475,0.22249
459.1,474.07,0.22185
461,475,0.2229
463.1,474.07,0.22223
394.7,474.08,0.21556
397,475,0.21655
398.8,474.1,0.21592
401,475,0.21694
402.9,474.14,0.21638
1515.1,474.71,0.99606
1514.1,475,0.99534
1524,473.74,0.99998
1523.3,473.84,0.99997
-119.8,448.17,0.029895
-125,446.5,0.023715
511.3,474.16,0.22752
513,475,0.22847
515.2,474.16,0.22796
517,475,0.22892
487.1,474.19,0.22493
489,475,0.22585
491.2,474.16,0.22534
493,475,0.22628
495.2,474.19,0.22581
1513,474.69,0.99126
1512.7,475,0.99203
1524,473.36,0.99998
1523.2,473.57,0.99994
-119.4,444.37,0.017456
-125,443.74,0.015782
587.2,474.25,0.23652
585,475,0.2369
589,475,0.2374
583.42,474.23,0.23602
581,475,0.23641
579.55,474.24,0.23555
577,475,0.23593
519.1,474.16,0.2284
521,475,0.22938
522.9,474.21,0.2289
525,475,0.22984
1511.9,474.64,0.98779
1511.2,475,0.98824
-120.1,442.39,0.012877
-125,440.83,0.0098564
590.74,474.25,0.23697
593,475,0.23791
575.49,474,0.23467
573,475,0.23544
571.19,474.17,0.23445
569,475,0.23495
563.66,474.19,0.23356
561,475,0.234
565,475,0.23447
567.43,474.19,0.23402
555.23,474.04,0.23234
553,475,0.23306
557,475,0.23353
543.1,474.11,0.23106
541,475,0.23166
545,475,0.23212
559.85,473.95,0.23272
526.73,474.09,0.2292
529,475,0.23029
539.19,474.09,0.23056
537,475,0.23119
535.19,474.19,0.23025
533,475,0.23074
1510.8,474.71,0.98515
1509.8,475,0.98367
1524,473,0.99998
1523.4,473.08,0.9994
-117.3,440.27,0.0089903
-125,437.78,0.0057547
594.32,474.15,0.23732
597,475,0.2384
599.07,474.04,0.23758
601,475,0.23891
603.25,474.03,0.23812
605,475,0.23942
547.06,474.07,0.23144
549,475,0.23259
551.27,474.08,0.23193
531.17,473.98,0.22949
607.27,474.03,0.23863
609,475,0.23993
611.26,474.02,0.23913
613,475,0.24045
615.24,474.03,0.23965
617,475,0.24097
619.23,474.03,0.24016
621,475,0.24149
623.2,474.03,0.24068
625,475,0.24201
1508.8,474.67,0.97739
1508.3,475,0.97786
1524,472.65,0.99998
1523.2,472.78,0.99656
-125,434.57,0.0031076
-117.4,435.25,0.0036054
627.15,474.03,0.24119
629,475,0.24254
631.11,474.02,0.24169
633,475,0.24308
635.09,474,0.24219
637,475,0.24362
639.07,474,0.24271
641,475,0.24416
